log_id,cluster,error_text
7,0,Package libidn2 was not found in the pkg-config search path.
7,0,to the PKG_CONFIG_PATH environment variable
7,0,"Package 'libidn2', required by 'libcurl', not found"
7,0,Package libidn2 was not found in the pkg-config search path.
7,0,to the PKG_CONFIG_PATH environment variable
7,0,"Package 'libidn2', required by 'libcurl', not found"
7,0,Package libidn2 was not found in the pkg-config search path.
7,0,to the PKG_CONFIG_PATH environment variable
7,0,"Package 'libidn2', required by 'libcurl', not found"
7,0,Package libidn2 was not found in the pkg-config search path.
7,0,to the PKG_CONFIG_PATH environment variable
7,0,"Package 'libidn2', required by 'libcurl', not found"
7,0,-- Looking for backtrace
7,0,Problem opening /proc/meminfo
7,0,-- Looking for backtrace - found
7,0,-- backtrace facility detected in default set of libraries
7,0,Failed to to determine commit hash/branch
7,0,Problem opening /proc/meminfo
7,0,Problem opening /proc/meminfo
7,0,-- Performing Test ZSTD_AVAILABLE_LINKER - Failed
7,0,Problem opening /proc/meminfo
7,0,Problem opening /proc/meminfo
7,0,Using default compression for debug info because both compiler and linker support it
7,0,Problem opening /proc/meminfo
7,0,Problem opening /proc/meminfo
7,0,-- Performing Test COMPILER_HAS_DEPRECATED_ATTR
7,0,Problem opening /proc/meminfo
7,0,Package bzip2 was not found in the pkg-config search path.
7,0,to the PKG_CONFIG_PATH environment variable
7,0,"Package 'bzip2', required by 'freetype2', not found"
7,0,Package bzip2 was not found in the pkg-config search path.
7,0,to the PKG_CONFIG_PATH environment variable
7,0,"Package 'bzip2', required by 'freetype2', not found"
7,0,Package bzip2 was not found in the pkg-config search path.
7,0,to the PKG_CONFIG_PATH environment variable
7,0,"Package 'bzip2', required by 'freetype2', not found"
7,0,Package bzip2 was not found in the pkg-config search path.
7,0,to the PKG_CONFIG_PATH environment variable
7,0,"Package 'bzip2', required by 'freetype2', not found"
7,0,-- Could NOT find BZip2 (missing: BZIP2_LIBRARIES BZIP2_INCLUDE_DIR)
7,0,-- Could NOT find LibLZMA (missing: LIBLZMA_LIBRARY LIBLZMA_INCLUDE_DIR)
7,0,-- Could NOT find ZSTD (missing: ZSTD_LIBRARY ZSTD_INCLUDE_DIR)
7,0,-- Could NOT find LZ4 (missing: LZ4_LIBRARY LZ4_INCLUDE_DIR)
7,0,Problem opening /proc/meminfo
7,0,Problem opening /proc/meminfo
7,0,-- Found Capstone: /usr/lib64/libcapstone.so
7,0,-- Unable to find any .NET runtimes
7,0,"Failed to locate ImHex-Patterns repository, some resources will be missing"
7,0,Manually-specified variables were not used by the project:
7,0,SHARE_INSTALL_PREFIX
7,0,[  2%] Built target CLI11
7,0,[  2%] Built target microtar
7,0,236 | static const char* ImGui_ImplGlfw_GetClipboardText(void* user_data)
7,0,[  3%] Built target imgui_backend
7,0,4947 | STBTT_DEF int stbtt_GetNumberOfFonts(const unsigned char *data)
7,0,"4765 | STBTT_DEF void stbtt_FreeSDF(unsigned char *bitmap, void *userdata)"
7,0,"4005 | STBTT_DEF void stbtt_PackSetSkipMissingCodepoints(stbtt_pack_context *spc, int skip)"
7,0,3989 | STBTT_DEF void stbtt_PackEnd  (stbtt_pack_context *spc)
7,0,"3708 | STBTT_DEF void stbtt_FreeBitmap(unsigned char *bitmap, void *userdata)"
7,0,2317 | STBTT_DEF int  stbtt_GetKerningTableLength(const stbtt_fontinfo *info)
7,0,/usr/bin/ranlib libwolv-utils.a
7,0,[  5%] Built target imgui_imnodes
7,0,[  8%] Built target imgui_cimgui
7,0,"7755 | STBIDEF int stbi_is_16_bit_from_callbacks(stbi_io_callbacks const *c, void *user)"
7,0,"7748 | STBIDEF int stbi_is_16_bit_from_memory(stbi_uc const *buffer, int len)"
7,0,7712 | STBIDEF int stbi_is_16_bit(char const *filename)
7,0,"7691 | STBIDEF int stbi_info(char const *filename, int *x, int *y, int *comp)"
7,0,5019 | STBIDEF void stbi_convert_iphone_png_to_rgb_thread(int flag_true_if_should_convert)
7,0,5013 | STBIDEF void stbi_set_unpremultiply_on_load_thread(int flag_true_if_should_unpremultiply)
7,0,5001 | STBIDEF void stbi_convert_iphone_png_to_rgb(int flag_true_if_should_convert)
7,0,4996 | STBIDEF void stbi_set_unpremultiply_on_load(int flag_true_if_should_unpremultiply)
7,0,"4568 | STBIDEF char *stbi_zlib_decode_noheader_malloc(char const *buffer, int len, int *outlen)"
7,0,"4557 | STBIDEF int stbi_zlib_decode_buffer(char *obuffer, int olen, char const *ibuffer, int ilen)"
7,0,"4536 | STBIDEF char *stbi_zlib_decode_malloc(char const *buffer, int len, int *outlen)"
7,0,1582 | STBIDEF void   stbi_hdr_to_ldr_scale(float scale) { stbi__h2l_scale_i = 1/scale; }
7,0,1581 | STBIDEF void   stbi_hdr_to_ldr_gamma(float gamma) { stbi__h2l_gamma_i = 1/gamma; }
7,0,1576 | STBIDEF void   stbi_ldr_to_hdr_scale(float scale) { stbi__l2h_scale = scale; }
7,0,1575 | STBIDEF void   stbi_ldr_to_hdr_gamma(float gamma) { stbi__l2h_gamma = gamma; }
7,0,"1559 | STBIDEF int      stbi_is_hdr_from_callbacks(stbi_io_callbacks const *clbk, void *user)"
7,0,1531 | STBIDEF int      stbi_is_hdr          (char const *filename)
7,0,"1517 | STBIDEF int stbi_is_hdr_from_memory(stbi_uc const *buffer, int len)"
7,0,"1493 | STBIDEF float *stbi_loadf(char const *filename, int *x, int *y, int *comp, int req_comp)"
7,0,1126 | STBIDEF void stbi_set_flip_vertically_on_load_thread(int flag_true_if_should_flip)
7,0,1116 | STBIDEF void stbi_set_flip_vertically_on_load(int flag_true_if_should_flip)
7,0,972 | STBIDEF const char *stbi_failure_reason(void)
7,0,"619 | STBIWDEF int stbi_write_tga(char const *filename, int x, int y, int comp, const void *data)"
7,0,262 | STBIWDEF void stbi_flip_vertically_on_write(int flag)
7,0,[  9%] Built target plutovg
7,0,/usr/bin/ranlib libLLVMDemangle.a
7,0,[ 10%] Built target LLVMDemangle
7,0,[ 12%] Built target edlib
7,0,[ 13%] Linking CXX executable generator-builtin
7,0,319 |         Int32 _hash_size;
7,0,317 |         Int32 _buffer_size;
7,0,319 |         Int32 _hash_size;
7,0,317 |         Int32 _buffer_size;
7,0,[ 13%] Linking CXX executable generator-decompress
7,0,[ 13%] Linking CXX executable generator-diffing
7,0,[ 15%] Built target generator-diffing
7,0,[ 15%] Built target romfs_file_packer-diffing
7,0,[ 18%] Built target imgui_imgui
7,0,"In file included from /usr/src/RPM/BUILD/imhex-1.37.4/lib/third_party/HashLibPlus/Crypto/Blake2B.h:30,"
7,0,319 |         Int32 _hash_size;
7,0,317 |         Int32 _buffer_size;
7,0,319 |         Int32 _hash_size;
7,0,317 |         Int32 _buffer_size;
7,0,131 |                 return _pos == _data.size();
7,0,"In file included from /usr/src/RPM/BUILD/imhex-1.37.4/lib/third_party/HashLibPlus/Crypto/Blake2S.h:30,"
7,0,319 |         Int32 _hash_size;
7,0,317 |         Int32 _buffer_size;
7,0,319 |         Int32 _hash_size;
7,0,317 |         Int32 _buffer_size;
7,0,131 |                 return _pos == _data.size();
7,0,[ 18%] Built target imgui_implot3d
7,0,46 |         bool m_localOnly = true;
7,0,/usr/bin/ranlib liblibwolv-io.a
7,0,/usr/bin/ranlib libromfs-imhex.a
7,0,499 |         bool mFindRegEx;
7,0,497 |         bool mMatchCase;
7,0,476 |     while (i < line.size() && c < aCoordinates.mColumn) {
7,0,505 |     while (index < line.size() && column < aCoordinates.mColumn) {
7,0,606 |         if (breakpoint <= aStart || breakpoint >= aEnd) {
7,0,606 |         if (breakpoint <= aStart || breakpoint >= aEnd) {
7,0,607 |             if (breakpoint >= aEnd) {
7,0,639 |         if (breakpoint > aIndex) {
7,0,659 |     if (aIndex == mLines.size())
7,0,673 |         if (breakpoint >= aIndex) {
7,0,1087 |             for (int i = 0; i < line.size();) {
7,0,1448 |         if (cindex < whitespaceSize && mLanguageDefinition.mAutoIndentation) {
7,0,1699 |     if (oldPos.mLine == (mLines.size() - 1)) {
7,0,1801 |             if (lindex < mLines.size() - 1) {
7,0,2024 |             while (cindex < line.size() && cend-- > cindex) {
7,0,2325 |         for (unsigned i = 1; i < count; i++) {
7,0,2332 |         for (unsigned i = 1; i < count; i++) {
7,0,2512 |         auto selectionEnd = editor->mState.mSelectionEnd;
7,0,2817 |         while (currentLine < endLine || currentIndex < endIndex) {
7,0,"2965 |                         if (compareBack(endStr, line) && ((commentStartLine != currentLine) || (commentStartIndex + commentLength < currentIndex))) {"
7,0,2975 |                 if (currentIndex < line.size())
7,0,3012 |     for (size_t it = 0u; it < line.size() && it < colIndex;) {
7,0,/usr/bin/ranlib libromfs-diffing.a
7,0,/usr/bin/ranlib libromfs-decompress.a
7,0,[ 30%] Built target libromfs-diffing
7,0,78885 |             ma_uint64 metadataBytesRead;
7,0,/usr/bin/ranlib libminiaudio.a
7,0,[ 31%] Built target miniaudio
7,0,/usr/bin/ranlib libromfs-hashes.a
7,0,[ 34%] Built target libromfs-script_loader
7,0,/usr/bin/ranlib libromfs-builtin.a
7,0,[ 35%] Built target lunasvg
7,0,[ 37%] Built target imgui_implot
7,0,319 |         Int32 _hash_size;
7,0,317 |         Int32 _buffer_size;
7,0,319 |         Int32 _hash_size;
7,0,317 |         Int32 _buffer_size;
7,0,"83 |                 UInt32 sum = 0, index = 0;"
7,0,"83 |                 UInt32 sum = 0, index = 0;"
7,0,161 |                         if (value.size() != GetKeyLength().GetValue())
7,0,244 |                         if (value.size() != GetKeyLength().GetValue())
7,0,219 |                         if (value.size() != GetKeyLength().GetValue())
7,0,85 |                         if (value.size() != GetKeyLength().GetValue())
7,0,83 |                         if (value.size() != GetKeyLength().GetValue())
7,0,197 |                         if (value.size() != GetKeyLength().GetValue())
7,0,170 |                         if (value.size() != GetKeyLength().GetValue())
7,0,131 |                 return _pos == _data.size();
7,0,139 |                 for (i = 0; i < _hash.size(); i++)
7,0,139 |                 for (i = 0; i < _hash.size(); i++)
7,0,335 |                 while (_rounds < rounds)
7,0,335 |                 while (_rounds < rounds)
7,0,485 |                 t = a & (c & b ^ d ^ f) ^ c & h ^ b & g ^ f;
7,0,485 |                 t = a & (c & b ^ d ^ f) ^ c & h ^ b & g ^ f;
7,0,485 |                 t = a & (c & b ^ d ^ f) ^ c & h ^ b & g ^ f;
7,0,537 |                 t = d & (f & e ^ g ^ a) ^ f & c ^ e & b ^ a;
7,0,537 |                 t = d & (f & e ^ g ^ a) ^ f & c ^ e & b ^ a;
7,0,537 |                 t = d & (f & e ^ g ^ a) ^ f & c ^ e & b ^ a;
7,0,545 |                 t = b & (d & c ^ e ^ g) ^ d & a ^ c & h ^ g;
7,0,545 |                 t = b & (d & c ^ e ^ g) ^ d & a ^ c & h ^ g;
7,0,545 |                 t = b & (d & c ^ e ^ g) ^ d & a ^ c & h ^ g;
7,0,577 |                 t = b & (d & c ^ e ^ g) ^ d & a ^ c & h ^ g;
7,0,577 |                 t = b & (d & c ^ e ^ g) ^ d & a ^ c & h ^ g;
7,0,577 |                 t = b & (d & c ^ e ^ g) ^ d & a ^ c & h ^ g;
7,0,585 |                 t = h & (b & a ^ c ^ e) ^ b & g ^ a & f ^ e;
7,0,585 |                 t = h & (b & a ^ c ^ e) ^ b & g ^ a & f ^ e;
7,0,585 |                 t = h & (b & a ^ c ^ e) ^ b & g ^ a & f ^ e;
7,0,917 |                 t = b & (f & d ^ e ^ a) ^ f & g ^ d & h ^ a;
7,0,917 |                 t = b & (f & d ^ e ^ a) ^ f & g ^ d & h ^ a;
7,0,917 |                 t = b & (f & d ^ e ^ a) ^ f & g ^ d & h ^ a;
7,0,937 |                 t = e & (a & g ^ h ^ d) ^ a & b ^ g & c ^ d;
7,0,937 |                 t = e & (a & g ^ h ^ d) ^ a & b ^ g & c ^ d;
7,0,937 |                 t = e & (a & g ^ h ^ d) ^ a & b ^ g & c ^ d;
7,0,945 |                 t = c & (g & e ^ f ^ b) ^ g & h ^ e & a ^ b;
7,0,945 |                 t = c & (g & e ^ f ^ b) ^ g & h ^ e & a ^ b;
7,0,945 |                 t = c & (g & e ^ f ^ b) ^ g & h ^ e & a ^ b;
7,0,949 |                 t = b & (f & d ^ e ^ a) ^ f & g ^ d & h ^ a;
7,0,949 |                 t = b & (f & d ^ e ^ a) ^ f & g ^ d & h ^ a;
7,0,949 |                 t = b & (f & d ^ e ^ a) ^ f & g ^ d & h ^ a;
7,0,977 |                 t = c & (g & e ^ f ^ b) ^ g & h ^ e & a ^ b;
7,0,977 |                 t = c & (g & e ^ f ^ b) ^ g & h ^ e & a ^ b;
7,0,977 |                 t = c & (g & e ^ f ^ b) ^ g & h ^ e & a ^ b;
7,0,1484 |                 t = d & (a & c ^ b ^ e) ^ a & h ^ c & f ^ e;
7,0,1484 |                 t = d & (a & c ^ b ^ e) ^ a & h ^ c & f ^ e;
7,0,1484 |                 t = d & (a & c ^ b ^ e) ^ a & h ^ c & f ^ e;
7,0,1488 |                 t = c & (h & b ^ a ^ d) ^ h & g ^ b & e ^ d;
7,0,1488 |                 t = c & (h & b ^ a ^ d) ^ h & g ^ b & e ^ d;
7,0,1488 |                 t = c & (h & b ^ a ^ d) ^ h & g ^ b & e ^ d;
7,0,1496 |                 t = a & (f & h ^ g ^ b) ^ f & e ^ h & c ^ b;
7,0,1496 |                 t = a & (f & h ^ g ^ b) ^ f & e ^ h & c ^ b;
7,0,1496 |                 t = a & (f & h ^ g ^ b) ^ f & e ^ h & c ^ b;
7,0,1516 |                 t = d & (a & c ^ b ^ e) ^ a & h ^ c & f ^ e;
7,0,1516 |                 t = d & (a & c ^ b ^ e) ^ a & h ^ c & f ^ e;
7,0,1516 |                 t = d & (a & c ^ b ^ e) ^ a & h ^ c & f ^ e;
7,0,1524 |                 t = b & (g & a ^ h ^ c) ^ g & f ^ a & d ^ c;
7,0,1524 |                 t = b & (g & a ^ h ^ c) ^ g & f ^ a & d ^ c;
7,0,1524 |                 t = b & (g & a ^ h ^ c) ^ g & f ^ a & d ^ c;
7,0,1536 |                 t = g & (d & f ^ e ^ h) ^ d & c ^ f & a ^ h;
7,0,1536 |                 t = g & (d & f ^ e ^ h) ^ d & c ^ f & a ^ h;
7,0,1536 |                 t = g & (d & f ^ e ^ h) ^ d & c ^ f & a ^ h;
7,0,1556 |                 t = b & (g & a ^ h ^ c) ^ g & f ^ a & d ^ c;
7,0,1556 |                 t = b & (g & a ^ h ^ c) ^ g & f ^ a & d ^ c;
7,0,1556 |                 t = b & (g & a ^ h ^ c) ^ g & f ^ a & d ^ c;
7,0,1588 |                 t = b & (g & a ^ h ^ c) ^ g & f ^ a & d ^ c;
7,0,1588 |                 t = b & (g & a ^ h ^ c) ^ g & f ^ a & d ^ c;
7,0,1588 |                 t = b & (g & a ^ h ^ c) ^ g & f ^ a & d ^ c;
7,0,1596 |                 t = h & (e & g ^ f ^ a) ^ e & d ^ g & b ^ a;
7,0,1596 |                 t = h & (e & g ^ f ^ a) ^ e & d ^ g & b ^ a;
7,0,1596 |                 t = h & (e & g ^ f ^ a) ^ e & d ^ g & b ^ a;
7,0,916 |         virtual void TransformBytes(const HashLibByteArray& a_data)
7,0,[ 39%] Built target hashplus
7,0,/usr/bin/ranlib liblibdisassembler.a
7,0,[ 39%] Built target libdisassembler
7,0,[ 43%] Built target plcli
7,0,538 | FMT_DEPRECATED inline auto localtime(std::time_t time) -> std::tm {
7,0,57 |                 auto time = time_t(params[0].toUnsigned());
7,0,63 |                 } catch (const fmt::format_error&) {
7,0,538 | FMT_DEPRECATED inline auto localtime(std::time_t time) -> std::tm {
7,0,538 | FMT_DEPRECATED inline auto localtime(std::time_t time) -> std::tm {
7,0,538 | FMT_DEPRECATED inline auto localtime(std::time_t time) -> std::tm {
7,0,gmake: *** [Makefile:146: all] Error 2
7,0,error: Bad exit status from /usr/src/tmp/rpm-tmp.53498 (%build)
7,0,Bad exit status from /usr/src/tmp/rpm-tmp.53498 (%build)
7,0,Command exited with non-zero status 1
7,0,hsh-rebuild: rebuild of `imhex-1.37.4-alt1.src.rpm' failed.
7,0,Command exited with non-zero status 1
8,0,<86>May 17 01:48:52 groupadd[2957184]: group added to /etc/gshadow: name=rooter
8,0,<86>May 17 01:48:52 userdel[2957211]: removed group 'builder' owned by 'builder'
8,0,Building for target x86_64
8,0,Building for target x86_64
8,0,Hunk #1 succeeded at 679 (offset -23 lines).
8,0,Hunk #2 succeeded at 820 (offset -23 lines).
8,0,Hunk #1 succeeded at 41 (offset 1 line).
8,0,Hunk #2 succeeded at 272 (offset 5 lines).
8,0,Hunk #1 succeeded at 889 (offset 2 lines).
8,0,Hunk #2 succeeded at 2116 (offset 2 lines).
8,0,Hunk #1 succeeded at 1652 (offset -96 lines).
8,0,Hunk #2 succeeded at 1661 (offset -96 lines).
8,0,Hunk #3 succeeded at 1741 (offset -96 lines).
8,0,Hunk #4 succeeded at 1768 (offset -96 lines).
8,0,Hunk #1 succeeded at 1956 (offset -96 lines).
8,0,Hunk #2 succeeded at 1995 (offset -96 lines).
8,0,Hunk #3 succeeded at 2004 (offset -96 lines).
8,0,Hunk #4 succeeded at 2012 (offset -96 lines).
8,0,Hunk #5 succeeded at 2030 (offset -96 lines).
8,0,Hunk #1 succeeded at 1229 (offset 34 lines).
8,0,+ find -type f -name '*.orig' -delete
8,0,+ export ac_cv_path_emacs=no
8,0,+ ac_cv_path_emacs=no
8,0,autoreconf-default: configure.in: not using Libtool
8,0,+ export lt_cv_deplibs_check_method=pass_all
8,0,+ configure_runstatedir_flags=
8,0,checking for C compiler default output file name... a.out
8,0,checking for suffix of object files... o
8,0,checking for x86_64-alt-linux-gcc option to enable C11 features... none needed
8,0,checking for stdio.h... yes
8,0,checking for stdlib.h... yes
8,0,checking for stdint.h... yes
8,0,checking for unistd.h... yes
8,0,checking for minix/config.h... no
8,0,checking for x86_64-alt-linux-gcc option to enable C11 features... (cached) none needed
8,0,checking for x86_64-alt-linux-ranlib... no
8,0,checking for texi2html... no
8,0,checking for tex... no
8,0,checking for texindex... no
8,0,checking for emacs... (cached) no
8,0,checking for syslog.h... yes
8,0,checking for __u32... yes
8,0,checking for vsyslog... yes
8,0,checking for syslog... yes
8,0,checking for working alloca.h... yes
8,0,checking for alloca... yes
8,0,# make links in srcdir
8,0,make[1]: [Makefile:79: .depend] Error 1 (ignored)
8,0,# create dependencies
8,0,# make links in srcdir
8,0,make[1]: [Makefile:79: dep] Error 1 (ignored)
8,0,# create dependencies
8,0,358 |    char *edata=data+type->packetlen;
8,0,377 |          return data;
8,0,408 |    return data;
8,0,"460 |             || ((*(m_type->fun))(&nEvent,data)==-1) ) {"
8,0,gpm.c:789:51: error: passing argument 3 of 'accept' from incompatible pointer type [-Wincompatible-pointer-types]
8,0,"789 |    if ((newfd=accept(fd,(struct sockaddr *)&addr, &len))<0) {"
8,0,|                                                   size_t * {aka long unsigned int *}
8,0,In file included from gpm.c:37:
8,0,make[1]: *** [Makefile:56: gpm.o] Error 1
8,0,make: *** [Makefile:62: do-all] Error 1
8,0,error: Bad exit status from /usr/src/tmp/rpm-tmp.95423 (%build)
8,0,Bad exit status from /usr/src/tmp/rpm-tmp.95423 (%build)
8,0,Command exited with non-zero status 1
8,0,hsh-rebuild: rebuild of `gpm-1.20.1-alt19.src.rpm' failed.
8,0,Command exited with non-zero status 1
9,0,"/usr/src/RPM/BUILD/apache-maven-3.8.8/maven-resolver-provider/src/test/java/org/apache/maven/repository/internal/DefaultArtifactDescriptorReaderTest.java:[22,26] package org.mockito does not exist"
9,0,"/usr/src/RPM/BUILD/apache-maven-3.8.8/maven-resolver-provider/src/test/java/org/apache/maven/repository/internal/DefaultArtifactDescriptorReaderTest.java:[22,1] static import only from classes and interfaces"
9,0,"/usr/src/RPM/BUILD/apache-maven-3.8.8/maven-resolver-provider/src/test/java/org/apache/maven/repository/internal/DefaultArtifactDescriptorReaderTest.java:[23,26] package org.mockito does not exist"
9,0,"/usr/src/RPM/BUILD/apache-maven-3.8.8/maven-resolver-provider/src/test/java/org/apache/maven/repository/internal/DefaultArtifactDescriptorReaderTest.java:[23,1] static import only from classes and interfaces"
9,0,"/usr/src/RPM/BUILD/apache-maven-3.8.8/maven-resolver-provider/src/test/java/org/apache/maven/repository/internal/DefaultArtifactDescriptorReaderTest.java:[31,19] package org.mockito does not exist"
9,0,"/usr/src/RPM/BUILD/apache-maven-3.8.8/maven-resolver-provider/src/test/java/org/apache/maven/repository/internal/DefaultArtifactDescriptorReaderTest.java:[43,53] cannot find symbol"
9,0,"/usr/src/RPM/BUILD/apache-maven-3.8.8/maven-resolver-provider/src/test/java/org/apache/maven/repository/internal/DefaultArtifactDescriptorReaderTest.java:[45,9] cannot find symbol"
9,0,"/usr/src/RPM/BUILD/apache-maven-3.8.8/maven-resolver-provider/src/test/java/org/apache/maven/repository/internal/DefaultArtifactDescriptorReaderTest.java:[45,49] cannot find symbol"
9,0,"/usr/src/RPM/BUILD/apache-maven-3.8.8/maven-resolver-provider/src/test/java/org/apache/maven/repository/internal/DefaultArtifactDescriptorReaderTest.java:[59,9] cannot find symbol"
9,0,Failed to execute goal org.apache.maven.plugins:maven-compiler-plugin:3.8.1:testCompile (default-testCompile) on project maven-resolver-provider: Compilation failure: Compilation failure:
9,0,"/usr/src/RPM/BUILD/apache-maven-3.8.8/maven-resolver-provider/src/test/java/org/apache/maven/repository/internal/DefaultArtifactDescriptorReaderTest.java:[22,26] package org.mockito does not exist"
9,0,"/usr/src/RPM/BUILD/apache-maven-3.8.8/maven-resolver-provider/src/test/java/org/apache/maven/repository/internal/DefaultArtifactDescriptorReaderTest.java:[22,1] static import only from classes and interfaces"
9,0,"/usr/src/RPM/BUILD/apache-maven-3.8.8/maven-resolver-provider/src/test/java/org/apache/maven/repository/internal/DefaultArtifactDescriptorReaderTest.java:[23,26] package org.mockito does not exist"
9,0,"/usr/src/RPM/BUILD/apache-maven-3.8.8/maven-resolver-provider/src/test/java/org/apache/maven/repository/internal/DefaultArtifactDescriptorReaderTest.java:[23,1] static import only from classes and interfaces"
9,0,"/usr/src/RPM/BUILD/apache-maven-3.8.8/maven-resolver-provider/src/test/java/org/apache/maven/repository/internal/DefaultArtifactDescriptorReaderTest.java:[31,19] package org.mockito does not exist"
9,0,"/usr/src/RPM/BUILD/apache-maven-3.8.8/maven-resolver-provider/src/test/java/org/apache/maven/repository/internal/DefaultArtifactDescriptorReaderTest.java:[43,53] cannot find symbol"
9,0,symbol:   method mock(java.lang.Class<org.eclipse.aether.impl.RepositoryEventDispatcher>)
9,0,location: class org.apache.maven.repository.internal.DefaultArtifactDescriptorReaderTest
9,0,"/usr/src/RPM/BUILD/apache-maven-3.8.8/maven-resolver-provider/src/test/java/org/apache/maven/repository/internal/DefaultArtifactDescriptorReaderTest.java:[45,9] cannot find symbol"
9,0,symbol:   class ArgumentCaptor
9,0,location: class org.apache.maven.repository.internal.DefaultArtifactDescriptorReaderTest
9,0,"/usr/src/RPM/BUILD/apache-maven-3.8.8/maven-resolver-provider/src/test/java/org/apache/maven/repository/internal/DefaultArtifactDescriptorReaderTest.java:[45,49] cannot find symbol"
9,0,symbol:   variable ArgumentCaptor
9,0,location: class org.apache.maven.repository.internal.DefaultArtifactDescriptorReaderTest
9,0,"/usr/src/RPM/BUILD/apache-maven-3.8.8/maven-resolver-provider/src/test/java/org/apache/maven/repository/internal/DefaultArtifactDescriptorReaderTest.java:[59,9] cannot find symbol"
9,0,symbol:   method verify(org.eclipse.aether.impl.RepositoryEventDispatcher)
9,0,location: class org.apache.maven.repository.internal.DefaultArtifactDescriptorReaderTest
9,0,"To see the full stack trace of the errors, re-run Maven with the -e switch."
9,0,Re-run Maven using the -X switch to enable full debug logging.
9,0,"For more information about the errors and possible solutions, please read the following articles:"
9,0,"After correcting the problems, you can resume the build with the command"
9,0,mvn <args> -rf :maven-resolver-provider
